# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.1, 1.1
-0.0242820099608565, 0.3981993939358217, 1.1, 1.1
-0.128386132501781, 0.7839180839198292, 1.1, 1.1
-0.28340363161922966, 1.1524077977403104, 1.1, 1.1
-0.47231104430738924, 1.5048433319608137, 1.1, 1.1
-0.6852171554954225, 1.8433769320571134, 1.1, 1.1
-0.9160310675389667, 2.169998535268723, 1.1, 1.1
-1.1611593483018652, 2.486035504201272, 1.1, 1.1
-1.4175429960387618, 2.793020913928899, 1.1, 1.1
-1.6835689762274697, 3.091696968442429, 1.1, 1.1
-1.9578213937189588, 3.382841131327746, 1.1, 1.1
-2.2392369737719235, 3.667069501443125, 1.1, 1.1
-2.5270697089327925, 3.9447994238943025, 1.1, 1.1
-2.8207436422311005, 4.216346970145036, 1.1, 1.1
-3.119816603314689, 4.48193769916066, 1.1, 1.1
-3.4239542949787136, 4.741714092517499, 1.1, 1.1
-3.7329119385013527, 4.995739638386338, 1.1, 1.1
-4.046521589185737, 5.243999477701875, 1.1, 1.1
-4.364683855354116, 5.486397353670146, 1.1, 1.1
-4.687363188562244, 5.722748338804772, 1.1, 1.1
-5.014586149470233, 5.952766534695757, 1.1, 1.1
-5.346432176527578, 6.1760616312889915, 1.1, 1.1
-5.682961882424031, 6.392231991962953, 1.1, 1.1
-6.024179384602874, 6.600923697521836, 1.1, 1.1
-6.370074411679198, 6.801768027002144, 1.1, 1.1
-6.720692714489786, 6.994246655606961, 1.1, 1.1
-7.07584329087458, 7.178225866880201, 1.1, 1.1
-7.435475879146971, 7.353281117526448, 1.1, 1.1
-7.799475482302043, 7.519064252363098, 1.1, 1.1
-8.167634524312028, 7.675390959640277, 1.1, 1.1
-8.539785035010794, 7.821963388380773, 1.1, 1.1
-8.915702682687332, 7.958582250469648, 1.1, 1.1
-9.295091647120167, 8.085244000309855, 1.1, 1.1
-9.67773582556677, 8.201705305184218, 1.1, 1.1
-10.06331448485065, 8.308045802674673, 1.1, 1.1
-10.451513404040362, 8.404383464200631, 1.1, 1.1
-10.842033751347735, 8.490837820248123, 1.1, 1.1
-11.234590608687661, 8.56752249569092, 1.1, 1.1
-11.628879685018148, 8.634735604870361, 1.1, 1.1
-12.024612545635286, 8.692849019314458, 1.1, 1.1
-12.421529982048092, 8.742234244333183, 1.1, 1.1
-12.819395852027334, 8.783295828193275, 1.1, 1.1
-13.21800930061682, 8.816333163155967, 1.1, 1.1
-13.617197486887513, 8.841495782769789, 1.1, 1.1
-14.01679043859054, 8.859093313738768, 1.1, 1.1
-14.416639190668846, 8.869357485404105, 1.1, 1.1
-14.816607727502635, 8.87252669649745, 1.1, 1.1
-15.216572550626044, 8.868826858930262, 1.1, 1.1
-15.616419731912217, 8.858436020013269, 1.1, 1.1
-16.016051099721484, 8.841689863968671, 1.1, 1.1
